Timestamp,Full Name,Email Address,City/Location,Brands heard of,Brands used,Asian Paints Rating,Berger Paints Rating,Birla Paints Rating,Nippon Paints Rating,Important factors,Preferred brand,Reason for preference,Would recommend,Feedback/Suggestions
2025-03-15 20:00:21,Abeer Seth,edhithawali@example.com,Bengaluru,"Asian Paints, Nippon Paints, Berger Paints, Birla Paints","Asian Paints, Berger Paints, Nippon Paints",4.0,3.0,3.0,5.0,"Price, Customer Support, Brand Reputation",Nippon Paints,"Good quality (5 rating), Value for money, Wide color selection",Yes,
2025-03-05 18:13:13,Watika Sekhon,ekavirsawhney@example.org,Bengaluru,"Nippon Paints, Asian Paints, Berger Paints, Birla Paints",None,2.0,2.0,4.0,3.0,"Eco-friendliness, Durability, Color Variety",,,,More eco-friendly products
2025-03-13 17:30:42,Indira Bahl,suledarika@example.com,Bengaluru,"Asian Paints, Nippon Paints, Berger Paints, Other: Kansai Nerolac",Berger Paints,2.0,4.0,,2.0,"Availability, Price, Durability, Eco-friendliness",Berger Paints,"Eco-friendly options, Value for money, Wide color selection",Yes,
2025-04-13 01:31:16,Geetika Dewan,darsh58@example.net,Bengaluru,"Berger Paints, Nippon Paints",Nippon Paints,,2.0,,4.0,"Durability, Eco-friendliness, Color Variety, Brand Reputation",Nippon Paints,Value for money,Yes,
2025-04-22 11:24:20,Tarak Parikh,lakshit18@example.net,Bengaluru,"Asian Paints, Birla Paints, Nippon Paints, Berger Paints, Other: Shalimar Paints","Birla Paints, Nippon Paints, Berger Paints",1.0,2.0,3.0,3.0,"Brand Reputation, Price, Color Variety",Birla Paints,Good customer service,Maybe,
2025-03-23 09:23:01,Yasti Dara,naksh03@example.org,Bengaluru,"Birla Paints, Asian Paints, Berger Paints, Nippon Paints",Berger Paints,3.0,3.0,1.0,4.0,"Brand Reputation, Eco-friendliness, Availability",Berger Paints,"Easy availability in Bengaluru, Value for money, Good customer service",Maybe,
2025-02-03 05:22:32,Ryan Sawhney,nakshjoshi@example.net,Bengaluru,"Nippon Paints, Asian Paints",Nippon Paints,2.0,,,4.0,"Durability, Availability, Price, Customer Support, Brand Reputation",Nippon Paints,"Value for money, Trusted brand reputation",Yes,
2025-04-05 03:14:00,Bhavika Purohit,revamalhotra@example.net,Bengaluru,"Asian Paints, Birla Paints","Asian Paints, Birla Paints",2.0,,3.0,,"Brand Reputation, Durability, Price, Color Variety",Asian Paints,"Wide color selection, Easy availability in Bengaluru, Eco-friendly options",No,"Nothing, satisfied with current products"
2025-04-19 00:30:03,George Magar,qchandran@example.com,Bengaluru,"Birla Paints, Asian Paints",Asian Paints,4.0,,2.0,,"Price, Customer Support, Color Variety, Availability",Asian Paints,Wide color selection,Yes,More durable finishes for monsoon season
2025-03-05 14:53:36,Ryan Zacharia,vedika81@example.com,Bengaluru,"Berger Paints, Asian Paints, Nippon Paints, Birla Paints","Asian Paints, Nippon Paints",4.0,2.0,2.0,3.0,"Eco-friendliness, Brand Reputation, Color Variety, Durability, Availability",Asian Paints,"Trusted brand reputation, Good quality (4 rating)",Yes,Lower prices
2025-04-16 09:32:34,Chatresh Sheth,bhattkrishna@example.org,Bengaluru,"Berger Paints, Birla Paints, Asian Paints, Nippon Paints, Other: Dulux",Asian Paints,5.0,2.0,2.0,3.0,"Availability, Brand Reputation, Color Variety",Asian Paints,Long-lasting durability,Yes,
2025-02-11 11:10:03,Raagini Sarkar,pushti93@example.org,Bengaluru,"Nippon Paints, Asian Paints, Berger Paints, Birla Paints, Other: Dulux","Birla Paints, Asian Paints",3.0,3.0,2.0,1.0,"Customer Support, Eco-friendliness, Price, Availability",Asian Paints,"Eco-friendly options, Easy availability in Bengaluru, Good quality (3 rating)",Maybe,More eco-friendly products
2025-04-29 02:53:47,Sathvik Saxena,narayanishita@example.com,Bengaluru,"Nippon Paints, Asian Paints",Asian Paints,4.0,,,3.0,"Price, Customer Support, Availability, Eco-friendliness, Durability",Asian Paints,Easy availability in Bengaluru,Yes,
2025-03-23 05:17:40,Wakeeta Lad,kanne@example.org,Bengaluru,"Nippon Paints, Asian Paints, Other: Dulux","Asian Paints, Nippon Paints",4.0,,,3.0,"Eco-friendliness, Customer Support, Availability, Durability",Asian Paints,"Good customer service, Good quality (4 rating)",Yes,
2025-03-21 23:32:02,Zansi Dass,waidasavant@example.com,Bengaluru,"Asian Paints, Birla Paints, Berger Paints, Nippon Paints, Other: Shalimar Paints","Birla Paints, Asian Paints, Berger Paints",3.0,2.0,3.0,2.0,"Price, Availability, Customer Support",Asian Paints,Easy availability in Bengaluru,Maybe,Better marketing to explain product differences
2025-04-01 14:50:31,Charvi Konda,gardeaayush@example.com,Bengaluru,"Asian Paints, Birla Paints, Nippon Paints, Berger Paints","Nippon Paints, Asian Paints",4.0,3.0,1.0,4.0,"Eco-friendliness, Color Variety, Brand Reputation, Customer Support, Availability",Asian Paints,"Value for money, Good customer service, Long-lasting durability",Yes,
2025-03-23 11:11:08,Jasmit Gole,peter13@example.net,Bengaluru,"Asian Paints, Berger Paints",Asian Paints,3.0,2.0,,,"Brand Reputation, Availability, Color Variety, Customer Support, Durability",Asian Paints,"Value for money, Wide color selection",Maybe,
2025-03-29 15:15:35,Baljiwan Loyal,deviishani@example.org,Bengaluru,"Birla Paints, Nippon Paints, Asian Paints, Berger Paints",Asian Paints,4.0,3.0,3.0,2.0,"Price, Eco-friendliness, Availability",Asian Paints,"Good customer service, Eco-friendly options",Yes,
2025-03-08 01:24:10,Vamakshi Chana,hbhatia@example.net,Bengaluru,"Birla Paints, Nippon Paints, Berger Paints, Asian Paints",Asian Paints,3.0,3.0,3.0,2.0,"Price, Customer Support, Color Variety, Brand Reputation",Asian Paints,"Long-lasting durability, Eco-friendly options",Maybe,
2025-03-23 07:21:35,Nandini Wable,patrickmunshi@example.org,Bengaluru,"Nippon Paints, Birla Paints, Asian Paints, Berger Paints, Other: Jotun","Birla Paints, Berger Paints",2.0,3.0,3.0,3.0,"Price, Color Variety, Eco-friendliness",Berger Paints,"Good customer service, Eco-friendly options",Maybe,Lower prices
2025-04-14 07:39:48,Adya Mann,magaryadavi@example.com,Bengaluru,"Nippon Paints, Birla Paints, Asian Paints, Berger Paints",Berger Paints,4.0,3.0,3.0,3.0,"Brand Reputation, Eco-friendliness, Color Variety",Berger Paints,"Good customer service, Long-lasting durability",Maybe,Lower prices
2025-03-05 19:12:13,Oviya Grover,gopal11@example.com,Bengaluru,"Nippon Paints, Asian Paints, Other: Shalimar Paints",Nippon Paints,2.0,,,4.0,"Eco-friendliness, Brand Reputation, Durability",Nippon Paints,Value for money,Yes,
2025-03-10 20:11:13,Aradhana Garg,palladayamai@example.net,Bengaluru,"Nippon Paints, Birla Paints, Berger Paints, Asian Paints, Other: Kansai Nerolac","Nippon Paints, Asian Paints",5.0,2.0,4.0,1.0,"Durability, Color Variety, Eco-friendliness, Customer Support, Availability",Asian Paints,"Good customer service, Long-lasting durability",Yes,Better coverage per liter (specifically for Berger Paints)
2025-04-02 10:41:07,Rajata Acharya,kbatra@example.net,Bengaluru,"Nippon Paints, Asian Paints, Berger Paints",Berger Paints,3.0,4.0,,2.0,"Availability, Color Variety, Durability, Eco-friendliness",Berger Paints,"Long-lasting durability, Wide color selection",Yes,
2025-02-06 06:39:02,Advika Koshy,sneha87@example.org,Bengaluru,"Berger Paints, Birla Paints, Nippon Paints","Birla Paints, Berger Paints",,4.0,2.0,2.0,"Customer Support, Availability, Eco-friendliness, Color Variety",Berger Paints,"Good customer service, Value for money",Yes,
2025-04-15 08:40:31,Wridesh Biswas,thakkarraksha@example.net,Bengaluru,"Berger Paints, Birla Paints, Asian Paints, Nippon Paints","Berger Paints, Nippon Paints",3.0,5.0,2.0,3.0,"Color Variety, Brand Reputation, Eco-friendliness, Availability, Price",Berger Paints,"Wide color selection, Good customer service",Yes,
